Principal Features,,,Principal Components
Feature,Covariance,Cum Percentage,Component,Eigenvalue,Cum Percentage
gyroscope_x_avg,0.004478870137540967,0.21706252659283395,1,0.008326809172426484,0.4035478104787416
accelerometer_y_avg,0.0034994633205106883,0.3866593951651482,2,0.007328370569090444,0.7587076125462975
accelerometer_z_avg,0.001864168471113621,0.47700385836871473,3,0.0025138919824238552,0.8805400677257147
accelerometer_x_avg,0.0017552413951500954,0.5620693146806027,4,0.0010806007597099062,0.9329099565453864
audio_sdv,0.0017012944205922712,0.6445203021108388,5,4.508143310695507E-4,0.9547580777726611
gyroscope_z_avg,0.0016934764787118882,0.7265924033119145,6,2.8991340307203467E-4,0.9688083480040932
gyroscope_z_sdv,8.898792824123636E-4,0.7697192275937847,7,2.101736233595049E-4,0.9789941351130339
accelerometer_x_sdv,8.797159421733371E-4,0.8123534990122856,8,1.431681562146997E-4,0.9859325907416363
gyroscope_y_avg,8.697258559763205E-4,0.8545036140957704,9,1.0579730621784863E-4,0.9910599174756438
accelerometer_z_sdv,7.999625585977599E-4,0.893272743098522,10,7.28669730119637E-5,0.9945913190973557
gyroscope_y_sdv,7.752486118754957E-4,0.9308441433096637,11,4.886791355210652E-5,0.9969596379945774
accelerometer_y_sdv,6.91988080892269E-4,0.9643804318373479,12,3.288273571455528E-5,0.9985532563573114
gyroscope_x_sdv,5.827622744262167E-4,0.9926232358940404,13,1.8226138894012507E-5,0.999436562110074
audio_avg,1.5221221730198328E-4,1.0,14,1.1625982518311803E-5,1.0
