Principal Features,,,Principal Components
Feature,Covariance,Cum Percentage,Component,Eigenvalue,Cum Percentage
gyroscope_x_avg,0.006033248058285969,0.2945808532358169,1,0.012140689803448668,0.5927843056708895
accelerometer_y_avg,0.002313623655616607,0.4075464107520673,2,0.0036259654914950227,0.7698265883632552
audio_sdv,0.002224340098564302,0.5161525873573547,3,0.001956322603286798,0.8653464768401206
gyroscope_z_avg,0.0018777731153465185,0.6078371992211682,4,0.0014536294856190898,0.9363217475443169
gyroscope_y_avg,0.0012033087000866605,0.6665902456984772,5,3.557447920726504E-4,0.9536914302377103
gyroscope_z_sdv,9.986321167736324E-4,0.7153497029901176,6,2.7025143824417744E-4,0.9668867934147373
accelerometer_z_sdv,9.441068366435804E-4,0.7614468955466667,7,2.26466699182817E-4,0.9779443121559319
gyroscope_y_sdv,9.113376054458912E-4,0.8059440895629867,8,1.7777648693315158E-4,0.9866244706211735
accelerometer_x_sdv,8.936347312843438E-4,0.8495769186924572,9,9.686410131433646E-5,0.991353981050288
accelerometer_y_sdv,8.368612172782301E-4,0.8904377102667759,10,6.440070011172643E-5,0.994498425469715
gyroscope_x_sdv,7.890470345539811E-4,0.9289639147981603,11,5.130645676656943E-5,0.9970035271437702
accelerometer_x_avg,6.687570550450577E-4,0.961616811211409,12,3.373865314615357E-5,0.9986508589184304
accelerometer_z_avg,5.943085539270722E-4,0.9906346668026009,13,1.6460617131175157E-5,0.9994545690580509
audio_avg,1.918094054917333E-4,1.0,14,1.117085559124823E-5,1.0
