Principal Features,,,Principal Components
Feature,Covariance,Cum Percentage,Component,Eigenvalue,Cum Percentage
accelerometer_y_avg,0.004204441510229388,0.26816303472403524,1,0.009278113836875865,0.5917663872736216
accelerometer_z_avg,0.0022060734775835693,0.4088683714812921,2,0.0033777636468590587,0.8072031695236455
accelerometer_x_avg,0.002134306842841141,0.5449963681762274,3,0.001277852817212378,0.8887057635211139
gyroscope_z_avg,0.0017856522869515558,0.6588868658953211,4,6.615077821823542E-4,0.9308973206951149
audio_sdv,0.0014353542879322662,0.7504350443679176,5,4.133396971927403E-4,0.9572604957568774
gyroscope_x_avg,7.974260421277086E-4,0.801295589556778,6,3.098305265232757E-4,0.9770217634640108
gyroscope_z_sdv,7.223923557908953E-4,0.8473704192146564,7,1.2540037981746132E-4,0.985019911690257
accelerometer_x_sdv,6.666316655264162E-4,0.8898887822447437,8,8.288467126409326E-5,0.9903063700520172
accelerometer_z_sdv,5.183106830735287E-4,0.9229471005409356,9,6.533849333368454E-5,0.9944737175139875
gyroscope_y_sdv,4.588901546221285E-4,0.9522155244609863,10,4.41484164775744E-5,0.9972895429481344
accelerometer_y_sdv,3.965335118875542E-4,0.9775067860135211,11,1.5545635015821256E-5,0.9982810574340446
gyroscope_x_sdv,1.734372292417469E-4,0.9885687674002137,12,1.3271250159252619E-5,0.9991275096224336
audio_avg,1.7293026096755522E-4,0.9995984138975792,13,1.0279881024804687E-5,0.9997831696156827
gyroscope_y_avg,6.296338645954814E-6,1.0,14,3.3996134830455525E-6,1.0
